iter	Passed	Remaining
208	12041	45573
209	12108	45549
210	12182	45554
211	12264	45585
212	12343	45607
213	12430	45655
214	12523	45724
215	12611	45776
216	12680	45754
217	12768	45804
218	12828	45750
219	12887	45690
220	13037	45954
221	13109	45943
222	13191	45964
223	13268	45967
224	13343	45960
225	13433	46008
226	13506	45993
227	13561	45919
228	13646	45944
229	13746	46020
230	13818	46001
231	13893	45993
232	13999	46082
233	14077	46083
234	14152	46070
235	14211	46005
236	14279	45972
237	14387	46064
238	14462	46049
239	14530	46014
240	14597	45972
241	14674	45964
242	14747	45940
243	14815	45902
244	14877	45845
245	14969	45881
246	15075	45958
247	15152	45947
248	15239	45962
249	15325	45977
250	15414	45996
251	15484	45962
252	15564	45955
253	15636	45924
254	15710	45897
255	15790	45890
256	15866	45870
257	15929	45813
258	16048	45914
259	16152	45972
260	16232	45961
261	16302	45920
262	16397	45949
263	16485	45958
264	16551	45906
265	16596	45795
266	16649	45709
267	16707	45635
268	16781	45604
269	16843	45541
270	16911	45492
271	16999	45497
272	17070	45458
273	17133	45398
274	17210	45374
275	17280	45331
276	17339	45256
277	17407	45208
278	17478	45168
279	17543	45111
280	17598	45029
281	17656	44956
282	17708	44865
283	17760	44776
284	17808	44676
285	17867	44606
286	17948	44589
287	18023	44558
288	18089	44504
289	18202	44564
290	18279	44536
291	18343	44476
292	18411	44425
293	18469	44352
294	18526	44275
295	18582	44196
296	18640	44121
297	18688	44025
298	18734	43923
299	18791	43847
300	18843	43758
301	18897	43677
302	18963	43621
303	19041	43594
304	19107	43540
305	19167	43471
306	19231	43410
307	19293	43348
308	19357	43287
309	19433	43254
310	19501	43203
311	19563	43139
312	19617	43057
313	19663	42959
314	19722	42888
315	19780	42816
316	19832	42730
317	19886	42649
318	19953	42595
319	20029	42562
320	20089	42493
321	20163	42455
322	20227	42396
323	20283	42320
324	20354	42274
325	20429	42236
326	20489	42169
327	20542	42086
328	20595	42004
329	20650	41927
330	20716	41871
331	20785	41820
332	20843	41750
333	20905	41684
334	20969	41626
335	21059	41618
336	21135	41582
337	21219	41560
338	21296	41524
339	21359	41462
340	21418	41392
341	21487	41341
342	21545	41269
343	21595	41182
344	21654	41112
345	21723	41060
346	21814	41051
347	21877	40988
348	21929	40905
349	22000	40857
350	22083	40832
351	22163	40801
352	22250	40782
353	22334	40756
354	22412	40720
355	22507	40716
356	22578	40666
357	22637	40595
358	22701	40533
359	22777	40493
360	22832	40415
361	22904	40368
362	22980	40325
363	23052	40278
364	23123	40228
365	23206	40199
366	23287	40165
367	23399	40186
368	23559	40286
369	23640	40251
370	23716	40210
371	23783	40150
372	23849	40090
373	23916	40031
374	23988	39980
375	24060	39929
376	24131	39878
377	24206	39832
378	24275	39775
379	24346	39723
380	24415	39667
381	24476	39597
382	24581	39599
383	24685	39598
384	24746	39529
385	24799	39448
386	24871	39396
387	24937	39334
388	25002	39270
389	25069	39211
390	25131	39144
391	25212	39105
392	25286	39056
393	25345	38983
394	25417	38930
395	25496	38888
396	25580	38853
397	25666	38821
398	25734	38763
399	25810	38715
400	25878	38656
401	25945	38595
402	26003	38521
403	26075	38467
404	26134	38395
405	26214	38353
406	26315	38341
407	26380	38277
408	26462	38237
409	26568	38233
410	26641	38180
411	26709	38119
412	26772	38052
413	26843	37995
414	26903	37924
415	26971	37863
416	27049	37818
417	27118	37758
418	27185	37696
419	27246	37625
420	27321	37574
421	27389	37514
422	27466	37466
423	27539	37411
424	27617	37364
425	27709	37336
426	27815	37326
427	27889	37272
428	27951	37203
429	28015	37136
430	28102	37100
431	28199	37076
432	28309	37069
433	28376	37007
434	28499	37016
435	28612	37012
436	28741	37029
437	28849	37017
438	28933	36974
439	29008	36920
440	29093	36878
441	29186	36846
442	29282	36818
443	29391	36806
444	29538	36840
445	29618	36790
446	29808	36877
447	29891	36830
448	29986	36798
449	30045	36721
450	30108	36651
451	30175	36583
452	30235	36509
453	30291	36430
454	30354	36358
455	30403	36270
456	30464	36197
457	30521	36119
458	30578	36040
459	30658	35990
460	30731	35931
461	30783	35847
462	30862	35795
463	30936	35736
464	31002	35669
465	31064	35597
466	31145	35547
467	31228	35499
468	31312	35451
469	31374	35379
470	31420	35289
471	31469	35202
472	31542	35143
473	31607	35075
474	31682	35017
475	31743	34944
476	31803	34870
477	31858	34791
478	31925	34724
479	31988	34654
480	32051	34583
481	32114	34513
482	32169	34434
483	32247	34379
484	32330	34330
485	32399	34265
486	32460	34193
487	32519	34119
488	32627	34095
489	32695	34029
490	32763	33964
491	32822	33889
492	32885	33819
493	32950	33750
494	33004	33671
495	33061	33594
496	33114	33513
497	33181	33447
498	33250	33383
499	33321	33321
500	33378	33245
501	33430	33164
502	33483	33084
503	33555	33023
504	33621	32955
505	33693	32894
506	33764	32832
507	33841	32776
508	33911	32712
509	33978	32645
510	34043	32577
511	34119	32519
512	34196	32463
513	34269	32402
514	34333	32333
515	34389	32256
516	34452	32186
517	34523	32124
518	34596	32063
519	34670	32003
520	34734	31934
521	34812	31878
522	34897	31828
523	34957	31755
524	35027	31691
525	35096	31626
526	35167	31563
527	35242	31504
528	35306	31435
529	35372	31368
530	35449	31310
531	35524	31250
532	35594	31186
533	35666	31124
534	35756	31077
535	35839	31025
536	35902	30955
537	35970	30889
538	36048	30831
539	36123	30771
540	36191	30705
541	36255	30636
542	36335	30580
543	36399	30511
544	36463	30442
545	36525	30371
546	36579	30293
547	36641	30222
548	36729	30173
549	36809	30116
550	36869	30044
551	36925	29968
552	36995	29903
553	37082	29853
554	37149	29786
555	37213	29716
556	37265	29638
557	37319	29561
558	37378	29488
559	37448	29423
560	37508	29351
561	37557	29270
562	37605	29189
563	37675	29125
564	37756	29068
565	37819	28999
566	37885	28931
567	37948	28861
568	38023	28801
569	38099	28741
570	38159	28669
571	38209	28590
572	38278	28525
573	38358	28467
574	38428	28403
575	38487	28331
576	38550	28261
577	38622	28198
578	38695	28135
579	38761	28068
580	38817	27993
581	38884	27927
582	38958	27865
583	39026	27799
584	39091	27731
585	39145	27655
586	39205	27583
587	39281	27523
588	39354	27461
589	39435	27404
590	39496	27333
591	39576	27275
592	39653	27215
593	39744	27165
594	39811	27098
595	39885	27036
596	39968	26980
597	40042	26918
598	40105	26848
599	40166	26777
600	40236	26712
601	40314	26652
602	40384	26588
603	40448	26519
604	40502	26443
605	40584	26386
606	40661	26325
607	40754	26275
608	40826	26211
609	40896	26146
610	40963	26079
611	41024	26008
612	41078	25934
613	41147	25867
614	41224	25807
615	41315	25755
616	41370	25680
617	41436	25612
618	41506	25547
619	41577	25483
620	41642	25414
621	41723	25356
622	41799	25294
623	41871	25230
624	41939	25163
625	42001	25093
626	42074	25030
627	42154	24970
628	42223	24904
629	42304	24845
630	42392	24790
631	42450	24718
632	42502	24642
633	42579	24580
634	42642	24510
635	42721	24450
636	42804	24392
637	42874	24326
638	42938	24257
639	42997	24185
640	43062	24117
641	43123	24046
642	43197	23983
643	43252	23909
644	43323	23844
645	43385	23774
646	43447	23704
647	43508	23634
648	43574	23566
649	43645	23501
650	43732	23445
651	43924	23444
652	44059	23413
653	44156	23361
654	44235	23299
655	44326	23244
656	44432	23196
657	44518	23138
658	44577	23066
659	44660	23007
660	44783	22967
661	44886	22917
662	44971	22858
663	45041	22791
664	45156	22747
665	45215	22675
666	45296	22614
667	45362	22545
668	45462	22493
669	45567	22443
670	45642	22379
671	45731	22321
672	45883	22294
673	45969	22234
674	46057	22175
675	46127	22108
676	46194	22039
677	46278	21978
678	46396	21934
679	46523	21893
680	46609	21833
681	46687	21769
682	46754	21700
683	46905	21669
684	46994	21610
685	47069	21544
686	47177	21494
687	47298	21449
688	47363	21378
689	47444	21315
690	47514	21247
691	47688	21225
692	47826	21187
693	47950	21142
694	48066	21094
695	48140	21027
696	48264	20981
697	48360	20923
698	48504	20886
699	48601	20829
700	48657	20754
701	48722	20682
702	48791	20613
703	48919	20568
704	49015	20510
705	49081	20438
706	49144	20366
707	49217	20298
708	49318	20242
709	49400	20177
710	49473	20109
711	49544	20040
712	49612	19970
713	49679	19899
714	49749	19830
715	49840	19769
716	49929	19707
717	50007	19640
718	50072	19569
719	50147	19501
720	50276	19455
721	50382	19399
722	50466	19334
723	50544	19268
724	50646	19210
725	50735	19148
726	50824	19085
727	50928	19028
728	51034	18971
729	51126	18909
730	51223	18849
731	51349	18800
732	51442	18738
733	51600	18699
734	51730	18651
735	51810	18584
736	51943	18536
737	52077	18488
738	52146	18417
739	52237	18353
740	52334	18292
741	52436	18232
742	52556	18179
743	52642	18113
744	52734	18050
745	52823	17985
746	52920	17923
747	53048	17871
748	53159	17814
749	53237	17745
750	53321	17679
751	53433	17621
752	53516	17554
753	53619	17493
754	53700	17426
755	53835	17375
756	53928	17311
757	54053	17257
758	54115	17182
759	54191	17112
760	54259	17040
761	54324	16967
762	54388	16894
763	54446	16818
764	54506	16743
765	54572	16671
766	54636	16597
767	54700	16524
768	54769	16452
769	54835	16379
770	54904	16307
771	54995	16242
772	55094	16178
773	55175	16110
774	55253	16041
775	55334	15972
776	55403	15900
777	55543	15849
778	55623	15780
779	55722	15716
780	55829	15655
781	55921	15589
782	56038	15530
783	56106	15457
784	56170	15384
785	56230	15309
786	56300	15237
787	56369	15165
788	56451	15096
789	56525	15025
790	56590	14952
791	56665	14881
792	56747	14813
793	56805	14737
794	56876	14666
795	56939	14592
796	57012	14521
797	57083	14449
798	57136	14373
799	57216	14304
800	57309	14238
801	57397	14170
802	57471	14099
803	57533	14025
804	57586	13949
805	57649	13875
806	57725	13805
807	57795	13733
808	57862	13660
809	57916	13585
810	57971	13510
811	58047	13439
812	58102	13364
813	58145	13286
814	58202	13211
815	58261	13137
816	58315	13062
817	58364	12985
818	58430	12913
819	58492	12839
820	58550	12765
821	58608	12691
822	58678	12619
823	58747	12548
824	58815	12476
825	58894	12406
826	58967	12335
827	59059	12268
828	59115	12194
829	59173	12119
830	59232	12046
831	59299	11973
832	59354	11899
833	59414	11825
834	59472	11752
835	59526	11677
836	59592	11605
837	59670	11535
838	59728	11461
839	59779	11386
840	59840	11313
841	59901	11240
842	59984	11171
843	60079	11104
844	60234	11048
845	60314	10979
846	60379	10906
847	60441	10833
848	60509	10762
849	60571	10689
850	60637	10616
851	60701	10544
852	60773	10473
853	60832	10399
854	60896	10327
855	60961	10255
856	61033	10184
857	61101	10112
858	61161	10039
859	61219	9966
860	61284	9893
861	61362	9823
862	61436	9752
863	61513	9682
864	61568	9608
865	61625	9535
866	61678	9461
867	61742	9389
868	61812	9318
869	61898	9249
870	61974	9178
871	62046	9107
872	62123	9037
873	62181	8964
874	62269	8895
875	62350	8825
876	62405	8752
877	62474	8680
878	62551	8610
879	62619	8539
880	62693	8468
881	62768	8397
882	62836	8326
883	62932	8258
884	63022	8189
885	63111	8120
886	63167	8047
887	63229	7974
888	63299	7903
889	63370	7832
890	63427	7759
891	63476	7685
892	63534	7612
893	63602	7541
894	63667	7469
895	63739	7398
896	63814	7327
897	63897	7257
898	63977	7187
899	64074	7119
900	64150	7048
901	64211	6976
902	64279	6904
903	64334	6831
904	64395	6759
905	64456	6687
906	64502	6613
907	64572	6542
908	64634	6470
909	64711	6400
910	64772	6327
911	64825	6255
912	64881	6182
913	64947	6111
914	65019	6040
915	65089	5968
916	65157	5897
917	65229	5826
918	65302	5755
919	65377	5684
920	65443	5613
921	65498	5541
922	65551	5468
923	65610	5396
924	65670	5324
925	65717	5251
926	65768	5179
927	65824	5107
928	65892	5035
929	65955	4964
930	66014	4892
931	66081	4821
932	66133	4749
933	66191	4677
934	66248	4605
935	66305	4533
936	66363	4461
937	66425	4390
938	66480	4318
939	66530	4246
940	66580	4174
941	66640	4103
942	66694	4031
943	66749	3959
944	66798	3887
945	66854	3816
946	66910	3744
947	66964	3673
948	67017	3601
949	67077	3530
950	67131	3458
951	67185	3387
952	67241	3316
953	67292	3244
954	67343	3173
955	67391	3101
956	67444	3030
957	67493	2959
958	67550	2887
959	67608	2817
960	67669	2746
961	67728	2675
962	67801	2605
963	67867	2534
964	67940	2464
965	68002	2393
966	68077	2323
967	68135	2252
968	68191	2181
969	68251	2110
970	68307	2040
971	68363	1969
972	68423	1898
973	68476	1827
974	68528	1757
975	68578	1686
976	68630	1615
977	68685	1545
978	68746	1474
979	68795	1403
980	68860	1333
981	68916	1263
982	68971	1192
983	69047	1122
984	69120	1052
985	69188	982
986	69255	912
987	69361	842
988	69412	772
989	69463	701
990	69512	631
991	69568	561
992	69627	490
993	69690	420
994	69767	350
995	69829	280
996	69880	210
997	70091	140
998	70211	70
999	70314	0
